Time,Total no of crimes
2001-01-31,38093
2001-02-28,33779
2001-03-31,40553
2001-04-30,40079
2001-05-31,41821
2001-06-30,41722
2001-07-31,44690
2001-08-31,44032
2001-09-30,41501
2001-10-31,43026
2001-11-30,39596
2001-12-31,36846
2002-01-31,38400
2002-02-28,33909
2002-03-31,38583
2002-04-30,40035
2002-05-31,42913
2002-06-30,42834
2002-07-31,46013
2002-08-31,44210
2002-09-30,42385
2002-10-31,43144
2002-11-30,37151
2002-12-31,37171
2003-01-31,36706
2003-02-28,32508
2003-03-31,38650
2003-04-30,39789
2003-05-31,41189
2003-06-30,40812
2003-07-31,43414
2003-08-31,44264
2003-09-30,41422
2003-10-31,43327
2003-11-30,38055
2003-12-31,35790
2004-01-31,35101
2004-02-29,34065
2004-03-31,39854
2004-04-30,38267
2004-05-31,40779
2004-06-30,41133
2004-07-31,43235
2004-08-31,43044
2004-09-30,41211
2004-10-31,41522
2004-11-30,36838
2004-12-31,34320
2005-01-31,33849
2005-02-28,31985
2005-03-31,36904
2005-04-30,38870
2005-05-31,40465
2005-06-30,40050
2005-07-31,41804
2005-08-31,41541
2005-09-30,39622
2005-10-31,39959
2005-11-30,35976
2005-12-31,32666
2006-01-31,36746
2006-02-28,31295
2006-03-31,36976
2006-04-30,36473
2006-05-31,39612
2006-06-30,38809
2006-07-31,41541
2006-08-31,40492
2006-09-30,37769
2006-10-31,38658
2006-11-30,35565
2006-12-31,34137
2007-01-31,34083
2007-02-28,27136
2007-03-31,36347
2007-04-30,35629
2007-05-31,40084
2007-06-30,38990
2007-07-31,40986
2007-08-31,39844
2007-09-30,38260
2007-10-31,39588
2007-11-30,34420
2007-12-31,31607
2008-01-31,33354
2008-02-29,29040
2008-03-31,33970
2008-04-30,35591
2008-05-31,38061
2008-06-30,37696
2008-07-31,40483
2008-08-31,40537
2008-09-30,37440
2008-10-31,37875
2008-11-30,33553
2008-12-31,29406
2009-01-31,30221
2009-02-28,28223
2009-03-31,33678
2009-04-30,32558
2009-05-31,35238
2009-06-30,34260
2009-07-31,35667
2009-08-31,35819
2009-09-30,33863
2009-10-31,33525
2009-11-30,31384
2009-12-31,28183
2010-01-31,29188
2010-02-28,24940
2010-03-31,32330
2010-04-30,31662
2010-05-31,33394
2010-06-30,32704
2010-07-31,33504
2010-08-31,34144
2010-09-30,31881
2010-10-31,32388
2010-11-30,28880
2010-12-31,25233
2011-01-31,27171
2011-02-28,22225
2011-03-31,28685
2011-04-30,29093
2011-05-31,31573
2011-06-30,32300
2011-07-31,33242
2011-08-31,32574
2011-09-30,29918
2011-10-31,30264
2011-11-30,27622
2011-12-31,27011
2012-01-31,26233
2012-02-29,23859
2012-03-31,28549
2012-04-30,27172
2012-05-31,30077
2012-06-30,31066
2012-07-31,31956
2012-08-31,30019
2012-09-30,27740
2012-10-31,27949
2012-11-30,26017
2012-12-31,25198
2013-01-31,25393
2013-02-28,21386
2013-03-31,24936
2013-04-30,25504
2013-05-31,27968
2013-06-30,27345
2013-07-31,28602
2013-08-31,28628
2013-09-30,26310
2013-10-31,25440
2013-11-30,23533
2013-12-31,21830
2014-01-31,19931
2014-02-28,17997
2014-03-31,22145
2014-04-30,22864
2014-05-31,24823
2014-06-30,25381
2014-07-31,26502
2014-08-31,25831
2014-09-30,23842
2014-10-31,23937
2014-11-30,20716
2014-12-31,20932
2015-01-31,20765
2015-02-28,16315
2015-03-31,21607
2015-04-30,21647
2015-05-31,23613
2015-06-30,23104
2015-07-31,24150
2015-08-31,24734
2015-09-30,23038
2015-10-31,23018
2015-11-30,20524
2015-12-31,21075
2016-01-31,20524
2016-02-29,18655
2016-03-31,21956
2016-04-30,21048
2016-05-31,23451
2016-06-30,23951
2016-07-31,24768
2016-08-31,24812
2016-09-30,23580
2016-10-31,23649
2016-11-30,21656
2016-12-31,20275
2017-01-31,21885
2017-02-28,19169
2017-03-31,20427
2017-04-30,21531
2017-05-31,23229
2017-06-30,23660
2017-07-31,24686
2017-08-31,24545
2017-09-30,22621
2017-10-31,22609
2017-11-30,21152
2017-12-31,20629
2018-01-31,19395
2018-02-28,2713
